"","Identity","Model","df/edf","Ref.df","F","p-value"
"1","FI","Day 10 Model: Treatment",1,"-",0.266448246297794,0.610333090767147
"2","FI","Day 31 Model: Treatment",1,"-",1.83607547661095,0.189197361438613
"3","FI","Day 59 Model: Treatment",1,"-",1.69448196992609,0.205088627541675
"4","FI","Day 89 Model: Treatment",1,"-",0.729320450490743,0.401200772457915
"5","FI","Day 10 Model: s(plant.mass):burned",2.39844903153819,"2.95044102803267",2.81142349005782,0.0613194335004767
"6","FI","Day 10 Model: s(plant.mass):unburned",1.00002700976759,"1.00005401898924",0.0154811124540737,0.902056921920485
"7","FI","Day 31 Model: s(plant.mass):burned",2.75353345885989,"3.37833303507052",8.6542984510461,0.000405552971554424
"8","FI","Day 31 Model: s(plant.mass):unburned",3.30199285487806,"4.03319280623514",8.02622644125592,0.000372384169318785
"9","FI","Day 59 Model: s(plant.mass):burned",1.20095399074963,"1.37300011876093",0.261224094135331,0.81044033097042
"10","FI","Day 59 Model: s(plant.mass):unburned",2.2378366374302,"2.75687641395318",1.71915875527063,0.290675955001782
"11","FI","Day 89 Model: s(plant.mass):burned",1.0000153493484,"1.00003069852048",0.591585339832701,0.449019272200034
"12","FI","Day 89 Model: s(plant.mass):unburned",1.96217271559692,"2.42535255756171",1.26753990888938,0.401413388045677
