"","Identity","Model","df/edf","Ref.df","F","p-value"
"1","DOC","Day 10 Model: Treatment",1,"-",9.57136829008355,0.00545422335024531
"2","DOC","Day 31 Model: Treatment",1,"-",0.0350915562410451,0.853295937903035
"3","DOC","Day 59 Model: Treatment",1,"-",12.3235021076443,0.00181559877725718
"4","DOC","Day 89 Model: Treatment",1,"-",1.16016079956309,0.291667340537817
"5","DOC","Day 10 Model: s(plant.mass):burned",3.62251453814045,"4.41233827915105",119.727923261688,0
"6","DOC","Day 10 Model: s(plant.mass):unburned",3.15062751729045,"3.85322556352991",149.122168665209,0
"7","DOC","Day 31 Model: s(plant.mass):burned",6.48154425569185,"7.53183253883228",34.3868704308965,0
"8","DOC","Day 31 Model: s(plant.mass):unburned",1.56785779161499,"1.9293831739781",59.3428081672999,0
"9","DOC","Day 59 Model: s(plant.mass):burned",2.05063681054362,"2.53185649319525",94.0004539344509,0
"10","DOC","Day 59 Model: s(plant.mass):unburned",2.20217955871772,"2.71397724009734",56.5517358065982,0
"11","DOC","Day 89 Model: s(plant.mass):burned",1.00014736828668,"1.0002947203216",39.9047392754784,2.63777594677883e-06
"12","DOC","Day 89 Model: s(plant.mass):unburned",1.87830344418542,"2.32372337938221",12.9439867923379,8.97220451303582e-05
"13","SUVA","Day 10 Model: Treatment",1,"-",1.02275808016673,0.323915972007107
"14","SUVA","Day 31 Model: Treatment",1,"-",1.36391077045443,0.25391118274791
"15","SUVA","Day 59 Model: Treatment",1,"-",13.286521372222,0.00140614893750279
"16","SUVA","Day 89 Model: Treatment",1,"-",0.560949494461279,0.46101772069893
"17","SUVA","Day 10 Model: s(plant.mass):burned",4.59735390072176,"5.54052253984751",20.6994313510225,0
"18","SUVA","Day 10 Model: s(plant.mass):unburned",3.35373238692379,"4.09458264144395",14.8839166032088,6.98205371363336e-06
"19","SUVA","Day 31 Model: s(plant.mass):burned",2.07467099436423,"2.56073972031561",2.76345324387067,0.0650130765215959
