DI,NPOC (mg/L),0, TN (mg/L),0
DI,NPOC,0.05067, TN,0
TC1,NPOC,1.238, TN,0.00457
TC2,NPOC,2.332, TN,0
TC5,NPOC,5.775, TN,0
TC10,NPOC,10.75, TN,0
TC15,NPOC,16.27, TN,0
DI,NPOC,0.07164, TN,0
TN1,NPOC,0.1116, TN,1.131
TN2,NPOC,0.05919, TN,2.257
TN5,NPOC,0.07304, TN,6.073
TN10,NPOC,0.09456, TN,11.33
DI,NPOC,0.01217, TN,0
1,NPOC,2.669, TN,1.022
2,NPOC,2.472, TN,0.9345
3,NPOC,2.568, TN,0.9056
4,NPOC,2.693, TN,0.9491
5,NPOC,2.568, TN,0.9276
6,NPOC,2.599, TN,0.8686
DI,NPOC,0.08752, TN,0
7,NPOC,3.181, TN,0.9549
8,NPOC,2.605, TN,0.8836
9,NPOC,2.836, TN,0.9197
10,NPOC,2.864, TN,0.8999
11,NPOC,3.009, TN,1.037
12,NPOC,2.483, TN,1.058
DI,NPOC,0.07347, TN,0
13,NPOC,2.737, TN,0.9152
14,NPOC,3.069, TN,0.9565
15,NPOC,2.392, TN,0.8679
16,NPOC,2.713, TN,1.005
17,NPOC,2.553, TN,0.8327
18,NPOC,2.616, TN,0.8905
DI,NPOC,0.08482, TN,0
19,NPOC,2.621, TN,0.947
20,NPOC,3.17, TN,0.9691
21,NPOC,2.525, TN,0.8734
22,NPOC,2.521, TN,0.9537
23,NPOC,2.781, TN,0.9109
24,NPOC,2.361, TN,0.8697
DI,NPOC,0.1004, TN,0
25,NPOC,2.413, TN,0.8541
26,NPOC,2.7, TN,0.8766
27,NPOC,2.357, TN,0.8275
28,NPOC,2.95, TN,0.9465
29,NPOC,2.825, TN,0.9276
30,NPOC,2.751, TN,0.9354
DI,NPOC,0.1035, TN,0
UP,NPOC,0.2095, TN,0
