DI,NPOC/TN,NPOC:0.2025mg/L TN:0.1128mg/L
DI,NPOC/TN,NPOC:0.1171mg/L TN:0.000mg/L
TC1,NPOC/TN,NPOC:1.092mg/L TN:0.000mg/L
TC2,NPOC/TN,NPOC:2.204mg/L TN:0.000mg/L
TC5,NPOC/TN,NPOC:5.096mg/L TN:0.000mg/L
TC10,NPOC/TN,NPOC:10.26mg/L TN:0.000mg/L
TC15,NPOC/TN,NPOC:15.20mg/L TN:0.000mg/L
DI,NPOC/TN,NPOC:0.1585mg/L TN:0.000mg/L
TN1,NPOC/TN,NPOC:0.1727mg/L TN:0.8290mg/L
TN2,NPOC/TN,NPOC:0.1246mg/L TN:1.798mg/L
TN5,NPOC/TN,NPOC:0.1349mg/L TN:4.390mg/L
TN10,NPOC/TN,NPOC:0.1104mg/L TN:8.448mg/L
DI,NPOC/TN,NPOC:0.08340mg/L TN:0.01365mg/L
1-Diluted,NPOC/TN,NPOC:1.977mg/L TN:0.08381mg/L
2D,NPOC/TN,NPOC:0.6174mg/L TN:0.04455mg/L
3D,NPOC/TN,NPOC:1.822mg/L TN:0.04893mg/L
4D,NPOC/TN,NPOC:0.5404mg/L TN:0.02886mg/L
5D,NPOC/TN,NPOC:1.642mg/L TN:0.03784mg/L
6D,NPOC/TN,NPOC:0.6391mg/L TN:0.07256mg/L
DI,NPOC/TN,NPOC:0.08017mg/L TN:0.000mg/L
7D,NPOC/TN,NPOC:1.267mg/L TN:0.08483mg/L
8D,NPOC/TN,NPOC:0.9868mg/L TN:0.04464mg/L
9D,NPOC/TN,NPOC:1.336mg/L TN:0.1015mg/L
10D,NPOC/TN,NPOC:0.7431mg/L TN:0.000mg/L
11D,NPOC/TN,NPOC:1.192mg/L TN:0.03543mg/L
12D,NPOC/TN,NPOC:0.8323mg/L TN:0.04619mg/L
DI,NPOC/TN,NPOC:0.05679mg/L TN:0.000mg/L
13D,NPOC/TN,NPOC:1.099mg/L TN:0.07374mg/L
14D,NPOC/TN,NPOC:0.7793mg/L TN:0.00850mg/L
15D,NPOC/TN,NPOC:1.164mg/L TN:0.09866mg/L
16D,NPOC/TN,NPOC:0.9016mg/L TN:0.04075mg/L
17D,NPOC/TN,NPOC:0.8573mg/L TN:0.04915mg/L
18D,NPOC/TN,NPOC:1.012mg/L TN:0.01052mg/L
DI,NPOC/TN,NPOC:0.06389mg/L TN:0.000mg/L
19D,NPOC/TN,NPOC:0.6973mg/L TN:0.00850mg/L
20D,NPOC/TN,NPOC:0.8720mg/L TN:0.07207mg/L
21D,NPOC/TN,NPOC:0.6288mg/L TN:0.00673mg/L
22D,NPOC/TN,NPOC:1.189mg/L TN:0.05046mg/L
23D,NPOC/TN,NPOC:0.5720mg/L TN:0.05970mg/L
24D,NPOC/TN,NPOC:1.360mg/L TN:0.03955mg/L
DI,NPOC/TN,NPOC:0.1020mg/L TN:0.000mg/L
25D,NPOC/TN,NPOC:0.5996mg/L TN:0.1903mg/L
26D,NPOC/TN,NPOC:1.249mg/L TN:0.1074mg/L
27D,NPOC/TN,NPOC:0.4890mg/L TN:0.01053mg/L
28D,NPOC/TN,NPOC:1.934mg/L TN:0.03816mg/L
29D,NPOC/TN,NPOC:0.5075mg/L TN:0.000mg/L
30D,NPOC/TN,NPOC:2.745mg/L TN:0.1015mg/L
DI,NPOC/TN,NPOC:0.09639mg/L TN:0.000mg/L
1-Undiluted,NPOC/TN,NPOC:16.16mg/L TN:0.8871mg/L
2,NPOC/TN,NPOC:5.143mg/L TN:0.2352mg/L
3,NPOC/TN,NPOC:15.70mg/L TN:0.5262mg/L
4,NPOC/TN,NPOC:4.705mg/L TN:0.3039mg/L
5,NPOC/TN,NPOC:14.33mg/L TN:0.6114mg/L
6,NPOC/TN,NPOC:5.675mg/L TN:0.3416mg/L
DI,NPOC/TN,NPOC:0.1437mg/L TN:0.000mg/L
7,NPOC/TN,NPOC:10.97mg/L TN:0.7734mg/L
8,NPOC/TN,NPOC:9.517mg/L TN:0.4886mg/L
9,NPOC/TN,NPOC:11.33mg/L TN:0.5798mg/L
10,NPOC/TN,NPOC:6.648mg/L TN:0.3114mg/L
11,NPOC/TN,NPOC:10.49mg/L TN:0.5646mg/L
12,NPOC/TN,NPOC:7.514mg/L TN:0.4540mg/L
DI,NPOC/TN,NPOC:0.2133mg/L TN:0.000mg/L
13,NPOC/TN,NPOC:9.984mg/L TN:0.6939mg/L
14,NPOC/TN,NPOC:7.054mg/L TN:0.3777mg/L
15,NPOC/TN,NPOC:10.47mg/L TN:1.130mg/L
16,NPOC/TN,NPOC:7.979mg/L TN:0.4515mg/L
17,NPOC/TN,NPOC:8.012mg/L TN:0.6324mg/L
18,NPOC/TN,NPOC:8.834mg/L TN:0.6403mg/L
DI,NPOC/TN,NPOC:0.1964mg/L TN:0.000mg/L
19,NPOC/TN,NPOC:6.501mg/L TN:0.5749mg/L
20,NPOC/TN,NPOC:8.559mg/L TN:0.6530mg/L
21,NPOC/TN,NPOC:5.758mg/L TN:0.3165mg/L
22,NPOC/TN,NPOC:10.69mg/L TN:0.7833mg/L
23,NPOC/TN,NPOC:6.095mg/L TN:0.3346mg/L
24,NPOC/TN,NPOC:11.71mg/L TN:0.7834mg/L
DI,NPOC/TN,NPOC:0.2298mg/L TN:0.000mg/L
25,NPOC/TN,NPOC:5.018mg/L TN:0.3604mg/L
26,NPOC/TN,NPOC:3.377mg/L TN:0.3271mg/L
27,NPOC/TN,NPOC:2.234mg/L TN:0.3193mg/L
28,NPOC/TN,NPOC:8.797mg/L TN:0.3943mg/L
29,NPOC/TN,NPOC:4.609mg/L TN:0.6407mg/L
30,NPOC/TN,NPOC:30.03mg/L TN:0.6606mg/L
DI,NPOC/TN,NPOC:0.2863mg/L TN:0.04322mg/L
UP,NPOC/TN,NPOC:0.1412mg/L TN:0.000mg/L
UP,NPOC/TN,NPOC:0.1566mg/L TN:0.000mg/L
