Tank,,DOC,TN
1,NPOC/TN,10.86,0.9712
2,NPOC/TN,6.045,0.2945
3,NPOC/TN,9.362,0.5001
4,NPOC/TN,4.221,0.2666
5,NPOC/TN,10.43,0.7557
6,NPOC/TN,4.833,0.2356
7,NPOC/TN,8.758,0.3508
8,NPOC/TN,6.228,0.2925
9,NPOC/TN,8.886,0.5319
10,NPOC/TN,6.183,0.4242
11,NPOC/TN,8.554,0.3257
12,NPOC/TN,7.153,0.5607
13,NPOC/TN,7.785,0.4891
14,NPOC/TN,5.981,0.3305
15,NPOC/TN,6.232,0.3304
16,NPOC/TN,7.408,0.418
17,NPOC/TN,6.529,0.3328
18,NPOC/TN,8.12,0.3778
19,NPOC/TN,5.073,0.2788
20,NPOC/TN,7.51,0.4392
21,NPOC/TN,6.084,0.4386
22,NPOC/TN,9.059,0.4299
23,NPOC/TN,4.58,0.2865
24,NPOC/TN,10.01,0.5179
25,NPOC/TN,4.954,0.3649
26,NPOC/TN,9.686,0.9345
27,NPOC/TN,4.039,0.3865
28,NPOC/TN,12.47,1.125
29,NPOC/TN,4.574,0.4845
30,NPOC/TN,14.44,1.228
