UP,Untitled,NPOC,0.04675mg/L,TN,0.1145mg/L
UP,Untitled,NPOC,0.2414mg/L,TN,0.1187mg/L
TC1,Untitled,NPOC,1.187mg/L,TN,0.07372mg/L
TC5,Untitled,NPOC,5.194mg/L,TN,0.000mg/L
TC10,Untitled,NPOC,10.60mg/L,TN,0.000mg/L
TC25,Untitled,NPOC,25.69mg/L,TN,0.07393mg/L
TC50,Untitled,NPOC,53.17mg/L,TN,0.1637mg/L
UP,Untitled,NPOC,0.1937mg/L,TN,0.00710mg/L
TN1,Untitled,NPOC,0.1062mg/L,TN,0.7273mg/L
TN2,Untitled,NPOC,0.1272mg/L,TN,1.377mg/L
TN5,Untitled,NPOC,0.1783mg/L,TN,3.629mg/L
TN10,Untitled,NPOC,0.1589mg/L,TN,7.134mg/L
UP,Untitled,NPOC,0.1558mg/L,TN,0.07761mg/L
1,Untitled,NPOC,11.71mg/L,TN,0.5124mg/L
2,Untitled,NPOC,7.905mg/L,TN,0.2912mg/L
3,Untitled,NPOC,11.59mg/L,TN,0.4659mg/L
4,Untitled,NPOC,5.413mg/L,TN,0.3983mg/L
5,Untitled,NPOC,12.10mg/L,TN,0.6275mg/L
6,Untitled,NPOC,5.288mg/L,TN,0.4076mg/L
UP,Untitled,NPOC,0.1512mg/L,TN,0.000mg/L
7,Untitled,NPOC,10.30mg/L,TN,0.3549mg/L
8,Untitled,NPOC,8.272mg/L,TN,0.4122mg/L
9-A,Undiluted,NPOC,9.938mg/L,TN,0.4024mg/L
10,Untitled,NPOC,7.153mg/L,TN,0.5048mg/L
11,Untitled,NPOC,13.00mg/L,TN,0.4189mg/L
12,Untitled,NPOC,8.309mg/L,TN,0.6332mg/L
UP,Untitled,NPOC,0.1656mg/L,TN,0.000mg/L
13,Untitled,NPOC,9.753mg/L,TN,0.4307mg/L
14,Untitled,NPOC,7.382mg/L,TN,0.3843mg/L
15,Untitled,NPOC,8.448mg/L,TN,0.4089mg/L
16,Untitled,NPOC,9.687mg/L,TN,0.7819mg/L
17,Untitled,NPOC,7.701mg/L,TN,0.2961mg/L
9-B,5 mL Sample + 15 mL UP,NPOC,2.637mg/L,TN,0.1289mg/L
UP,Untitled,NPOC,0.1606mg/L,TN,0.000mg/L
18,Untitled,NPOC,14.23mg/L,TN,1.170mg/L
19,Untitled,NPOC,7.627mg/L,TN,0.4961mg/L
20,Untitled,NPOC,8.707mg/L,TN,0.4605mg/L
21,Untitled,NPOC,9.338mg/L,TN,0.4915mg/L
22,Untitled,NPOC,9.783mg/L,TN,0.5018mg/L
23,Untitled,NPOC,5.563mg/L,TN,0.3887mg/L
UP,Untitled,NPOC,0.1591mg/L,TN,0.000mg/L
24,Untitled,NPOC,12.46mg/L,TN,0.7640mg/L
25,Untitled,NPOC,6.822mg/L,TN,0.4627mg/L
26,Untitled,NPOC,11.38mg/L,TN,0.5696mg/L
9-C,5 mL Sample + 15 mL UP,NPOC,2.570mg/L,TN,0.1090mg/L
27,Untitled,NPOC,4.661mg/L,TN,0.3614mg/L
28,Untitled,NPOC,13.88mg/L,TN,0.6436mg/L
UP,Untitled,NPOC,0.1847mg/L,TN,0.000mg/L
29,Untitled,NPOC,6.503mg/L,TN,0.4280mg/L
30,Untitled,NPOC,14.00mg/L,TN,0.5732mg/L
UP,Untitled,NPOC,0.2381mg/L,TN,0.05351mg/L
UP,Untitled,NPOC,0.1461mg/L,TN,0.03638mg/L
DI,Untitled,NPOC,0.1232mg/L,TN,0.000mg/L
DI,Untitled,NPOC,0.09212mg/L,TN,0.000mg/L
TAP,Untitled,NPOC,2.792mg/L,TN,1.266mg/L
TAP,Untitled,NPOC,2.762mg/L,TN,1.311mg/L
