"","Time.point","Treatment","plant.mass..g","Tank","Gas","d13C","at.perc.13C","ppm","Plant.mass..g"
"1","T0","unburned",400,1,"CO2",-13.46,1.090875,688,400
"2","T1","unburned",400,1,"CH4",-46.28,NA,2.34,400
"3","T0","unburned",400,1,"CH4",-45.21,NA,1.81,400
"4","T2","unburned",400,1,"CO2",-21.06,1.082573,1495,400
"5","T1","unburned",400,1,"CO2",-17.93,1.085991,4628,400
"6","T2","unburned",400,1,"CH4",-47.12,NA,2.47,400
"7","T3","unburned",400,1,"CH4",-47.88,NA,2.1,400
"8","T3","unburned",400,1,"CO2",-18.78,1.085064,1339,400
"9","T1","burned",0,2,"CH4",-45.92,NA,2.11,0
"10","T3","burned",0,2,"CO2",-12.24,1.092219,419,0
"11","T2","burned",0,2,"CH4",-46.95,NA,2.35,0
"12","T3","burned",0,2,"CH4",-48.58,NA,2.78,0
"13","T2","burned",0,2,"CO2",-8.83,1.095943,383,0
"14","T0","burned",0,2,"CO2",-13.93,1.090363,721,0
"15","T0","burned",0,2,"CH4",-45.75,NA,1.69,0
"16","T1","burned",0,2,"CO2",-11.67,1.092838,534,0
"17","T1","unburned",300,3,"CH4",-46.55,NA,2.27,300
"18","T0","unburned",300,3,"CO2",-13.86,1.090443,711,300
"19","T3","unburned",300,3,"CH4",-47.47,NA,2.47,300
"20","T1","unburned",300,3,"CO2",-18.19,1.085708,4260,300
"21","T2","unburned",300,3,"CH4",-47.58,NA,2.44,300
"22","T0","unburned",300,3,"CH4",-45.69,NA,1.96,300
"23","T2","unburned",300,3,"CO2",-20.24,1.083468,1659,300
"24","T3","unburned",300,3,"CO2",-18.66,1.085189,1148,300
"25","T0","burned",5,4,"CO2",-17.13,1.086866,772,5
"26","T1","burned",5,4,"CH4",-46.22,NA,2.16,5
"27","T0","burned",5,4,"CH4",-45.18,NA,1.92,5
"28","T3","burned",5,4,"CH4",-48.52,NA,2.65,5
"29","T2","burned",5,4,"CO2",-12.25,1.092203,450,5
"30","T1","burned",5,4,"CO2",-13.38,1.090967,574,5
"31","T2","burned",5,4,"CH4",-47.33,NA,2.34,5
"32","T3","burned",5,4,"CO2",-18.33,1.085557,781,5
"33","T1","unburned",250,5,"CH4",-46.48,NA,2.25,250
"34","T3","unburned",250,5,"CH4",-48.42,NA,2.74,250
"35","T0","unburned",250,5,"CO2",-14.25,1.090021,799,250
"36","T2","unburned",250,5,"CH4",-47.14,NA,2.29,250
"37","T0","unburned",250,5,"CH4",-45.68,NA,2.05,250
"38","T3","unburned",250,5,"CO2",-20.41,1.083275,1595,250
"39","T1","unburned",250,5,"CO2",-18.07,1.085841,3533,250
"40","T2","unburned",250,5,"CO2",-19.78,1.083964,2058,250
"41","T3","burned",10,6,"CH4",-47.16,NA,2.6,10
"42","T1","burned",10,6,"CH4",-46.2,NA,2.17,10
"43","T0","burned",10,6,"CH4",-45.62,NA,1.94,10
"44","T3","burned",10,6,"CO2",-6.77,1.098202,302,10
"45","T0","burned",10,6,"CO2",-18.01,1.085899,758,10
"46","T2","burned",10,6,"CH4",-46.83,NA,2.2,10
"47","T2","burned",10,6,"CO2",-13.13,1.091236,564,10
"48","T1","burned",10,6,"CO2",-13.25,1.091114,558,10
"49","T0","unburned",225,7,"CH4",-45.8,NA,1.8,225
"50","T0","unburned",225,7,"CO2",-13.44,1.090898,721,225
"51","T1","unburned",225,7,"CH4",-46.43,NA,2.16,225
"52","T3","unburned",225,7,"CH4",-48.95,NA,2.55,225
"53","T2","unburned",225,7,"CO2",-19.51,1.084265,1362,225
"54","T3","unburned",225,7,"CO2",-15.96,1.088149,624,225
"55","T1","unburned",225,7,"CO2",-18.42,1.085454,3313,225
"56","T2","unburned",225,7,"CH4",-46.17,NA,2.26,225
"57","T0","burned",25,8,"CH4",-45.54,NA,1.87,25
"58","T3","burned",25,8,"CH4",-47.94,NA,2.85,25
