Tank,,DOC,TN
1NoUVF,NPOC/TN,49.9,0.6326
2,NPOC/TN,2.867,0.5811
3,NPOC/TN,37.24,0.3716
4,NPOC/TN,3.238,0.7388
5,NPOC/TN,27.63,0.3562
6,NPOC/TN,3.757,0.4218
7,NPOC/TN,16.18,0.3538
8,NPOC/TN,4.721,0.1879
9,NPOC/TN,19.23,0.3744
10,NPOC/TN,5.033,0.7572
11,NPOC/TN,21.37,0.3867
12,NPOC/TN,5.473,0.6166
13,NPOC/TN,14.65,0.3019
14,NPOC/TN,6.348,0.3437
15,NPOC/TN,8.754,0.3623
16,NPOC/TN,7.454,0.427
17,NPOC/TN,8.617,0.2886
18,NPOC/TN,9.994,0.3113
19,NPOC/TN,4.753,0.6003
20,NPOC/TN,8.841,0.3463
21,NPOC/TN,4.419,0.5385
22,NPOC/TN,12.67,0.3739
23,NPOC/TN,3.896,0.6346
24,NPOC/TN,17.47,0.4271
25,NPOC/TN,3.504,0.7418
26,NPOC/TN,18.09,0.4198
27,NPOC/TN,3.179,0.6797
28,NPOC/TN,32.39,0.6391
29,NPOC/TN,2.884,0.9082
30,NPOC/TN,56.81,0.732
1NoUVNF,NPOC/TN,47.42,0.5411
2,NPOC/TN,3.14,0.7967
3,NPOC/TN,35.83,0.4703
4,NPOC/TN,3.527,0.9229
5,NPOC/TN,26.92,0.3711
6,NPOC/TN,3.639,0.6448
7,NPOC/TN,13.1,0.4247
8,NPOC/TN,4.519,0.2381
9,NPOC/TN,19.59,0.398
10,NPOC/TN,5.06,0.8707
11,NPOC/TN,15.15,0.3385
12,NPOC/TN,5.367,0.6915
13,NPOC/TN,13.2,0.3966
14,NPOC/TN,6.396,0.5912
15,NPOC/TN,7.893,0.3019
16,NPOC/TN,7.238,0.647
17,NPOC/TN,7.578,0.3087
18,NPOC/TN,8.78,0.3422
19,NPOC/TN,4.802,0.6521
20,NPOC/TN,8.057,0.5154
21,NPOC/TN,4.328,0.6761
22,NPOC/TN,11.38,0.4603
23,NPOC/TN,3.852,0.7162
24,NPOC/TN,16.32,0.396
25,NPOC/TN,3.292,0.849
26,NPOC/TN,15.62,0.4598
27,NPOC/TN,3.172,0.8187
28,NPOC/TN,29.21,0.5758
29,NPOC/TN,3.054,0.8383
30,NPOC/TN,55.2,0.7287
