UP,NPOC/TN,NPOC:0.2140mg/L TN:0.03865mg/L
UP,NPOC/TN,NPOC:0.1167mg/L TN:0.000mg/L
TC1,NPOC/TN,NPOC:0.9384mg/L TN:0.000mg/L
TC2,NPOC/TN,NPOC:1.919mg/L TN:0.000mg/L
TC5,NPOC/TN,NPOC:4.565mg/L TN:0.000mg/L
TC10,NPOC/TN,NPOC:10.22mg/L TN:0.000mg/L
TC15,NPOC/TN,NPOC:14.86mg/L TN:0.00977mg/L
UP,NPOC/TN,NPOC:0.1202mg/L TN:0.000mg/L
TN1,NPOC/TN,NPOC:0.2240mg/L TN:0.9275mg/L
TN2,NPOC/TN,NPOC:0.09493mg/L TN:1.830mg/L
TN5,NPOC/TN,NPOC:0.1080mg/L TN:4.211mg/L
TN10,NPOC/TN,NPOC:0.07253mg/L TN:8.535mg/L
UP,NPOC/TN,NPOC:0.07835mg/L TN:0.000mg/L
UP,NPOC/TN,NPOC:0.05703mg/L TN:0.000mg/L
NUV1-F,NPOC/TN,NPOC:18.41mg/L TN:1.093mg/L
NUV2-F,NPOC/TN,NPOC:4.127mg/L TN:0.2005mg/L
NUV3-F,NPOC/TN,NPOC:16.49mg/L TN:0.7139mg/L
NUV4-F,NPOC/TN,NPOC:4.181mg/L TN:0.3112mg/L
NUV5-F,NPOC/TN,NPOC:15.78mg/L TN:0.5182mg/L
NUV6-F,NPOC/TN,NPOC:4.506mg/L TN:0.2435mg/L
UP,NPOC/TN,NPOC:0.1444mg/L TN:0.000mg/L
UP,NPOC/TN,NPOC:0.1017mg/L TN:0.000mg/L
NUV7-F,NPOC/TN,NPOC:11.23mg/L TN:0.8109mg/L
NUV8-F,NPOC/TN,NPOC:8.845mg/L TN:0.4182mg/L
NUV9-F,NPOC/TN,NPOC:11.64mg/L TN:0.5842mg/L
NUV10-F,NPOC/TN,NPOC:5.790mg/L TN:0.3040mg/L
NUV11-F,NPOC/TN,NPOC:9.741mg/L TN:0.4472mg/L
NUV12-F,NPOC/TN,NPOC:6.641mg/L TN:0.3978mg/L
UP,NPOC/TN,NPOC:0.1332mg/L TN:0.000mg/L
UP,NPOC/TN,NPOC:0.09776mg/L TN:0.00558mg/L
NUV13-F,NPOC/TN,NPOC:9.395mg/L TN:0.7171mg/L
NUV14-F,NPOC/TN,NPOC:6.698mg/L TN:0.3771mg/L
NUV15-F,NPOC/TN,NPOC:7.808mg/L TN:0.7580mg/L
NUV16-F,NPOC/TN,NPOC:8.037mg/L TN:0.3934mg/L
NUV17-F,NPOC/TN,NPOC:7.273mg/L TN:0.4250mg/L
NUV18-F,NPOC/TN,NPOC:8.438mg/L TN:0.4524mg/L
UP,NPOC/TN,NPOC:0.1818mg/L TN:0.000mg/L
NUV19-F,NPOC/TN,NPOC:6.211mg/L TN:0.2890mg/L
NUV20-F,NPOC/TN,NPOC:8.452mg/L TN:0.6608mg/L
NUV21-F,NPOC/TN,NPOC:5.443mg/L TN:0.2837mg/L
NUV22-F,NPOC/TN,NPOC:69.88mg/L TN:0.4168mg/L
