DI,NPOC,0.02142, TN,0.03667,,,,
DI,NPOC,0.08648, TN,0.03699,,,,
TC1,NPOC,1.037, TN,0.06384,,,,
TC2,NPOC,2.045, TN,0.01185,,,,
TC5,NPOC,4.989, TN,0.04892,,,,
TC10,NPOC,9.5, TN,0.05431,,,,
TC15,NPOC,14.28, TN,0.03776,,,,
DI,NPOC,0.09679, TN,0,,,,
TN1,NPOC,0.1748, TN,1.137,,,,
TN2,NPOC,0.128, TN,2.323,,,,
TN5,NPOC,0.116, TN,5.82,,,,
TN10,NPOC,0.133, TN,10.68,,,,
DI,NPOC,0.04818, TN,0,,,,
UV F1,NPOC,44.79, TN,0.7985,NPOC,47.65,TN,0.9146
2,NPOC,2.69, TN,0.659,NPOC,3.153,TN,0.8329
3,NPOC,35.23, TN,0.4328,NPOC,37.37,TN,0.656
4,NPOC,3.039, TN,0.9289,NPOC,3.2,TN,1.051
5,NPOC,26.56, TN,0.544,NPOC,28.06,TN,0.642
6,NPOC,3.228, TN,0.5825,NPOC,3.495,TN,0.7122
DI,NPOC,0.176, TN,0,NPOC,0.143,TN,0
7,NPOC,15.15, TN,0.5111,NPOC,16.45,TN,0.5853
8,NPOC,4.296, TN,0.2615,NPOC,4.566,TN,0.3547
9,NPOC,18.02, TN,0.4604,NPOC,23.82,TN,0.6244
10,NPOC,4.637, TN,0.9972,NPOC,5.391,TN,1.229
11,NPOC,17.38, TN,0.4081,NPOC,19.13,TN,0.4659
12,NPOC,5.226, TN,0.7579,NPOC,5.58,TN,0.9694
DI,NPOC,0.2005, TN,0,NPOC,0.1867,TN,0
13,NPOC,14.03, TN,0.3582,NPOC,14.33,TN,0.5185
14,NPOC,5.884, TN,0.2669,NPOC,6.821,TN,0.4557
15,NPOC,8.248, TN,0.2705,NPOC,9.825,TN,0.4531
16,NPOC,6.4, TN,0.4083,NPOC,8.37,TN,0.6772
17,NPOC,9.065, TN,0.3299,NPOC,8.907,TN,0.451
18,NPOC,9.392, TN,0.3652,NPOC,10.24,TN,0.4934
DI,NPOC,0.1837, TN,0,NPOC,0.1995,TN,0
19,NPOC,4.467, TN,0.5454,NPOC,4.841,TN,0.8143
20,NPOC,8.31, TN,0.4082,NPOC,9.444,TN,0.6048
21,NPOC,4.342, TN,0.6616,NPOC,4.421,TN,0.8209
22,NPOC,12.16, TN,0.4257,NPOC,13.73,TN,0.5376
23,NPOC,3.703, TN,0.7056,NPOC,3.635,TN,0.9668
24,NPOC,16.46, TN,0.4014,NPOC,18.44,TN,0.6044
DI,NPOC,0.1752, TN,0,NPOC,0.2154,TN,0
25,NPOC,3.056, TN,0.2914,NPOC,3.169,TN,0.8702
26,NPOC,17.01, TN,0.4583,NPOC,18.24,TN,0.6394
27,NPOC,2.849, TN,0.7569,NPOC,3.281,TN,0.9543
28,NPOC,27.27, TN,0.5809,NPOC,30.28,TN,0.7905
29,NPOC,2.717, TN,0.8417,NPOC,3.285,TN,1.199
30,NPOC,44.95, TN,0.6267,NPOC,51.45,TN,0.8601
DI,NPOC,0.2659, TN,0.00544,NPOC,0.2164,TN,0
UV NF1,NPOC,41.61, TN,0.5323,NPOC,47.65,TN,0.9146
2,NPOC,2.722, TN,0.2772,NPOC,3.153,TN,0.8329
3,NPOC,32.81, TN,0.51,NPOC,37.37,TN,0.656
4,NPOC,3.129, TN,0.6359,NPOC,3.2,TN,1.051
5,NPOC,21.95, TN,0.4273,NPOC,28.06,TN,0.642
6,NPOC,3.258, TN,0.4258,NPOC,3.495,TN,0.7122
DI,NPOC,0.1489, TN,0.00979,NPOC,0.143,TN,0
7,NPOC,12.11, TN,0.3274,NPOC,16.45,TN,0.5853
8,NPOC,4.063, TN,0.2348,NPOC,4.566,TN,0.3547
9,NPOC,17, TN,0.3621,NPOC,23.82,TN,0.6244
10,NPOC,4.689, TN,0.9396,NPOC,5.391,TN,1.229
11,NPOC,13.91, TN,0.3402,NPOC,19.13,TN,0.4659
12,NPOC,4.774, TN,0.6785,NPOC,5.58,TN,0.9694
DI,NPOC,0.2056, TN,0,NPOC,0.1867,TN,0
