Tank,,DOC,TN
UV-F1,NPOC/TN,NPOC:10.68mg/L,TN:0.7767mg/L
2,NPOC/TN,NPOC:6.157mg/L,TN:0.2694mg/L
3,NPOC/TN,NPOC:9.990mg/L,TN:0.4233mg/L
4,NPOC/TN,NPOC:3.957mg/L,TN:0.2058mg/L
5,NPOC/TN,NPOC:10.53mg/L,TN:0.5169mg/L
6,NPOC/TN,NPOC:4.299mg/L,TN:0.1967mg/L
7,NPOC/TN,NPOC:8.944mg/L,TN:0.5344mg/L
8,NPOC/TN,NPOC:6.249mg/L,TN:0.3153mg/L
9,NPOC/TN,NPOC:9.029mg/L,TN:0.4980mg/L
10,NPOC/TN,NPOC:5.720mg/L,TN:0.2887mg/L
11,NPOC/TN,NPOC:8.999mg/L,TN:0.4102mg/L
12,NPOC/TN,NPOC:7.360mg/L,TN:0.6981mg/L
13,NPOC/TN,NPOC:8.443mg/L,TN:0.3942mg/L
14,NPOC/TN,NPOC:5.962mg/L,TN:0.3243mg/L
15,NPOC/TN,NPOC:6.452mg/L,TN:0.3447mg/L
16,NPOC/TN,NPOC:7.607mg/L,TN:0.4123mg/L
17,NPOC/TN,NPOC:6.571mg/L,TN:0.3295mg/L
18,NPOC/TN,NPOC:10.97mg/L,TN:0.6032mg/L
19,NPOC/TN,NPOC:5.764mg/L,TN:0.3021mg/L
20,NPOC/TN,NPOC:7.303mg/L,TN:0.4658mg/L
21,NPOC/TN,NPOC:7.688mg/L,TN:0.3272mg/L
22,NPOC/TN,NPOC:150.6mg/L,TN:0.5146mg/L
23,NPOC/TN,NPOC:4.229mg/L,TN:0.2340mg/L
24,NPOC/TN,NPOC:10.07mg/L,TN:0.5964mg/L
25,NPOC/TN,NPOC:4.595mg/L,TN:0.2694mg/L
26,NPOC/TN,NPOC:9.666mg/L,TN:0.5029mg/L
27,NPOC/TN,NPOC:3.843mg/L,TN:0.2656mg/L
28,NPOC/TN,NPOC:10.85mg/L,TN:0.6298mg/L
29,NPOC/TN,NPOC:4.711mg/L,TN:0.3252mg/L
30,NPOC/TN,NPOC:14.29mg/L,TN:0.7064mg/L
UV-NF1,NPOC/TN,NPOC:10.62mg/L,TN:0.6195mg/L
2,NPOC/TN,NPOC:5.892mg/L,TN:0.3308mg/L
3,NPOC/TN,NPOC:9.808mg/L,TN:0.4317mg/L
4,NPOC/TN,NPOC:4.062mg/L,TN:0.2785mg/L
5,NPOC/TN,NPOC:10.02mg/L,TN:0.5274mg/L
6,NPOC/TN,NPOC:4.476mg/L,TN:0.3260mg/L
7,NPOC/TN,NPOC:8.775mg/L,TN:0.4725mg/L
8,NPOC/TN,NPOC:6.124mg/L,TN:0.4936mg/L
9,NPOC/TN,NPOC:8.945mg/L,TN:0.3485mg/L
10,NPOC/TN,NPOC:5.769mg/L,TN:0.3852mg/L
11,NPOC/TN,NPOC:8.815mg/L,TN:0.4901mg/L
12,NPOC/TN,NPOC:7.219mg/L,TN:0.6180mg/L
13,NPOC/TN,NPOC:8.068mg/L,TN:0.4886mg/L
14,NPOC/TN,NPOC:6.091mg/L,TN:0.3657mg/L
15,NPOC/TN,NPOC:6.334mg/L,TN:0.3931mg/L
16,NPOC/TN,NPOC:7.566mg/L,TN:0.5500mg/L
17,NPOC/TN,NPOC:6.535mg/L,TN:0.3740mg/L
18,NPOC/TN,NPOC:8.920mg/L,TN:0.5389mg/L
19,NPOC/TN,NPOC:6.715mg/L,TN:0.3639mg/L
20,NPOC/TN,NPOC:7.245mg/L,TN:0.4357mg/L
21,NPOC/TN,NPOC:6.320mg/L,TN:0.4032mg/L
22,NPOC/TN,NPOC:8.837mg/L,TN:0.4363mg/L
23,NPOC/TN,NPOC:4.336mg/L,TN:0.2485mg/L
24,NPOC/TN,NPOC:9.693mg/L,TN:0.4765mg/L
25,NPOC/TN,NPOC:4.697mg/L,TN:0.3041mg/L
26,NPOC/TN,NPOC:10.07mg/L,TN:0.5460mg/L
27,NPOC/TN,NPOC:4.224mg/L,TN:0.2948mg/L
28,NPOC/TN,NPOC:11.98mg/L,TN:0.6355mg/L
29,NPOC/TN,NPOC:4.529mg/L,TN:0.4944mg/L
30,NPOC/TN,NPOC:15.58mg/L,TN:1.357mg/L
