TANK,DATE COLLECTED,Time.point,%COUNTED,COUNTED ON,COUNTED BY,SPECIES,# OF INDIVIDUALS,NOTES
12,2021-11-03,T0,100,11/19/2021,Bautista,Calanoid,0,
12,2021-11-03,T0,100,11/19/2021,Bautista,Cyclopoid,3,
12,2021-11-03,T0,100,11/19/2021,Bautista,Nauplii,0,
12,2021-11-03,T0,100,11/19/2021,Bautista,Chironomid,0,
12,2021-11-03,T0,100,11/19/2021,Bautista,Keratella,0,
12,2021-11-03,T0,100,11/19/2021,Bautista,Kellicottia,0,
2,2021-11-03,T0,100,11/19/2021,Bautista,Calanoid,0,
2,2021-11-03,T0,100,11/19/2021,Bautista,Cyclopoid,1,
2,2021-11-03,T0,100,11/19/2021,Bautista,Nauplii,2,
2,2021-11-03,T0,100,11/19/2021,Bautista,Chironomid,0,
2,2021-11-03,T0,100,11/19/2021,Bautista,Keratella,3,
2,2021-11-03,T0,100,11/19/2021,Bautista,Kellicottia,3,
2,2021-11-03,T0,100,11/19/2021,Bautista,Daphnia,1,
30,2021-11-03,T0,100,11/19/2021,Bautista,Calanoid,0,
30,2021-11-03,T0,100,11/19/2021,Bautista,Cyclopoid,1,
30,2021-11-03,T0,100,11/19/2021,Bautista,Nauplii,3,
30,2021-11-03,T0,100,11/19/2021,Bautista,Chironomid,0,
30,2021-11-03,T0,100,11/19/2021,Bautista,Keratella,6,
30,2021-11-03,T0,100,11/19/2021,Bautista,Kellicottia,2,
30,2021-11-03,T0,100,11/19/2021,Bautista,Daphnia,0,
27,2021-11-03,T0,100,11/19/2021,Bautista,Calanoid,0,
27,2021-11-03,T0,100,11/19/2021,Bautista,Cyclopoid,1,
27,2021-11-03,T0,100,11/19/2021,Bautista,Nauplii,1,
27,2021-11-03,T0,100,11/19/2021,Bautista,Chironomid,0,
27,2021-11-03,T0,100,11/19/2021,Bautista,Keratella,7,
27,2021-11-03,T0,100,11/19/2021,Bautista,Kellicottia,4,
27,2021-11-03,T0,100,11/19/2021,Bautista,Daphnia,1,
1,2021-11-03,T0,100,11/20/2021,Bautista,Calanoid,1,
1,2021-11-03,T0,100,11/20/2021,Bautista,Cyclopoid,5,
1,2021-11-03,T0,100,11/20/2021,Bautista,Nauplii,3,
1,2021-11-03,T0,100,11/20/2021,Bautista,Chironomid,0,
1,2021-11-03,T0,100,11/20/2021,Bautista,Keratella,0,
1,2021-11-03,T0,100,11/20/2021,Bautista,Kellicottia,4,
1,2021-11-03,T0,100,11/20/2021,Bautista,Daphnia,0,
7,2021-11-03,T0,100,11/20/2021,Bautista,Calanoid,1,
7,2021-11-03,T0,100,11/20/2021,Bautista,Cyclopoid,1,
7,2021-11-03,T0,100,11/20/2021,Bautista,Nauplii,0,
7,2021-11-03,T0,100,11/20/2021,Bautista,Chironomid,0,
7,2021-11-03,T0,100,11/20/2021,Bautista,Keratella,3,
7,2021-11-03,T0,100,11/20/2021,Bautista,Kellicottia,4,
7,2021-11-03,T0,100,11/20/2021,Bautista,Daphnia,0,
6,2021-11-03,T0,100,11/20/2021,Bautista,Calanoid,1,
6,2021-11-03,T0,100,11/20/2021,Bautista,Cyclopoid,0,
6,2021-11-03,T0,100,11/20/2021,Bautista,Nauplii,1,
6,2021-11-03,T0,100,11/20/2021,Bautista,Chironomid,0,
6,2021-11-03,T0,100,11/20/2021,Bautista,Keratella,2,
6,2021-11-03,T0,100,11/20/2021,Bautista,Kellicottia,4,
6,2021-11-03,T0,100,11/20/2021,Bautista,Daphnia,1,
2,2021-11-03,T0,100,11/8/2021,Evelyn,Calanoid,0,
2,2021-11-03,T0,100,11/8/2021,Evelyn,Cyclopoid,1,
2,2021-11-03,T0,100,11/8/2021,Evelyn,Chironomid,4,
2,2021-11-03,T0,100,11/8/2021,Evelyn,Nauplii,2,
2,2021-11-03,T0,100,11/8/2021,Evelyn,Kellicottia,0,
2,2021-11-03,T0,100,11/8/2021,Evelyn,Keratella,29,
30,2021-11-03,T0,100,11/8/2021,Evelyn,Calanoid,0,
30,2021-11-03,T0,100,11/8/2021,Evelyn,Cyclopoid,0,
30,2021-11-03,T0,100,11/8/2021,Evelyn,Chironomid,0,
30,2021-11-03,T0,100,11/8/2021,Evelyn,Nauplii,0,
30,2021-11-03,T0,100,11/8/2021,Evelyn,Kellicottia,0,
30,2021-11-03,T0,100,11/8/2021,Evelyn,Keratella,3,
12,2021-11-03,T0,100,11/8/2021,Evelyn,Calanoid,0,
12,2021-11-03,T0,100,11/8/2021,Evelyn,Cyclopoid,2,
12,2021-11-03,T0,100,11/8/2021,Evelyn,Chironomid,0,
12,2021-11-03,T0,100,11/8/2021,Evelyn,Nauplii,0,
12,2021-11-03,T0,100,11/8/2021,Evelyn,Kellicottia,0,
12,2021-11-03,T0,100,11/8/2021,Evelyn,Keratella,2,
19,2021-11-03,T0,100,11/8/2021,Evelyn,Calanoid,0,
19,2021-11-03,T0,100,11/8/2021,Evelyn,Cyclopoid,1,
19,2021-11-03,T0,100,11/8/2021,Evelyn,Chironomid,0,
19,2021-11-03,T0,100,11/8/2021,Evelyn,Nauplii,0,
19,2021-11-03,T0,100,11/8/2021,Evelyn,Kellicottia,0,
19,2021-11-03,T0,100,11/8/2021,Evelyn,Keratella,2,
22,2021-11-03,T0,100,11/8/2021,Evelyn,Calanoid,0,
22,2021-11-03,T0,100,11/8/2021,Evelyn,Cyclopoid,0,
22,2021-11-03,T0,100,11/8/2021,Evelyn,Chironomid,0,
22,2021-11-03,T0,100,11/8/2021,Evelyn,Nauplii,0,
22,2021-11-03,T0,100,11/8/2021,Evelyn,Kellicottia,0,
22,2021-11-03,T0,100,11/8/2021,Evelyn,Keratella,1,
8,2021-11-03,T0,100,11/8/2021,Evelyn,Calanoid,1,
8,2021-11-03,T0,100,11/8/2021,Evelyn,Cyclopoid,1,
8,2021-11-03,T0,100,11/8/2021,Evelyn,Chironomid,0,
8,2021-11-03,T0,100,11/8/2021,Evelyn,Nauplii,0,
8,2021-11-03,T0,100,11/8/2021,Evelyn,Kellicottia,0,
8,2021-11-03,T0,100,11/8/2021,Evelyn,Keratella,1,
8,2021-11-03,T0,100,11/8/2021,Evelyn,Ceriodaphnia,1,
8,2021-11-03,T0,100,11/8/2021,Evelyn,Caterpillars,2,
13,2021-11-03,T0,100,11/8/2021,Evelyn,Calanoid,0,
13,2021-11-03,T0,100,11/8/2021,Evelyn,Cyclopoid,0,
13,2021-11-03,T0,100,11/8/2021,Evelyn,Chironomid,0,
13,2021-11-03,T0,100,11/8/2021,Evelyn,Nauplii,0,
13,2021-11-03,T0,100,11/8/2021,Evelyn,Kellicottia,0,
13,2021-11-03,T0,100,11/8/2021,Evelyn,Keratella,0,
13,2021-11-03,T0,100,11/8/2021,Evelyn,Stringy thing,1,
13,2021-11-03,T0,100,11/8/2021,Evelyn,Caterpillars,1,
9,2021-11-03,T0,100,11/8/2021,Evelyn,Calanoid,2,
9,2021-11-03,T0,100,11/8/2021,Evelyn,Cyclopoid,4,
9,2021-11-03,T0,100,11/8/2021,Evelyn,Chironomid,0,
9,2021-11-03,T0,100,11/8/2021,Evelyn,Nauplii,0,
9,2021-11-03,T0,100,11/8/2021,Evelyn,Kellicottia,1,
9,2021-11-03,T0,100,11/8/2021,Evelyn,Keratella,0,
9,2021-11-03,T0,100,11/8/2021,Evelyn,Ceriodaphnia,0,
3,2021-11-03,T0,100,11/10/2021,Evelyn,Calanoid,0,
3,2021-11-03,T0,100,11/10/2021,Evelyn,Cyclopoid,3,
3,2021-11-03,T0,100,11/10/2021,Evelyn,Chironomid,0,
3,2021-11-03,T0,100,11/10/2021,Evelyn,Nauplii,1,
3,2021-11-03,T0,100,11/10/2021,Evelyn,Kellicottia,0,
3,2021-11-03,T0,100,11/10/2021,Evelyn,Keratella,0,
3,2021-11-03,T0,100,11/10/2021,Evelyn,Caterpillars,8,
3,2021-11-03,T0,100,11/10/2021,Evelyn,Ceriodaphnia,0,
3,2021-11-03,T0,100,11/10/2021,Evelyn,Daphnia,0,
3,2021-11-03,T0,100,11/10/2021,Evelyn,Bursted Daphnia,0,
27,2021-11-03,T0,100,11/10/2021,Evelyn,Calanoid,0,
27,2021-11-03,T0,100,11/10/2021,Evelyn,Cyclopoid,0,
27,2021-11-03,T0,100,11/10/2021,Evelyn,Chironomid,0,
27,2021-11-03,T0,100,11/10/2021,Evelyn,Nauplii,0,
27,2021-11-03,T0,100,11/10/2021,Evelyn,Kellicottia,0,
27,2021-11-03,T0,100,11/10/2021,Evelyn,Keratella,0,
27,2021-11-03,T0,100,11/10/2021,Evelyn,Caterpillars,0,
27,2021-11-03,T0,100,11/10/2021,Evelyn,Ceriodaphnia,0,
27,2021-11-03,T0,100,11/10/2021,Evelyn,Daphnia,1,
27,2021-11-03,T0,100,11/10/2021,Evelyn,Bursted Daphnia,0,
20,2021-11-03,T0,100,11/10/2021,Evelyn,Calanoid,0,
20,2021-11-03,T0,100,11/10/2021,Evelyn,Cyclopoid,0,
20,2021-11-03,T0,100,11/10/2021,Evelyn,Chironomid,0,
20,2021-11-03,T0,100,11/10/2021,Evelyn,Nauplii,0,
20,2021-11-03,T0,100,11/10/2021,Evelyn,Kellicottia,0,
20,2021-11-03,T0,100,11/10/2021,Evelyn,Keratella,1,
20,2021-11-03,T0,100,11/10/2021,Evelyn,Caterpillars,0,
20,2021-11-03,T0,100,11/10/2021,Evelyn,Ceriodaphnia,1,
20,2021-11-03,T0,100,11/10/2021,Evelyn,Daphnia,0,
20,2021-11-03,T0,100,11/10/2021,Evelyn,Bursted Daphnia,3,
5,2021-11-03,T0,100,11/10/2021,Evelyn,Calanoid,0,
5,2021-11-03,T0,100,11/10/2021,Evelyn,Cyclopoid,0,
5,2021-11-03,T0,100,11/10/2021,Evelyn,Chironomid,0,
5,2021-11-03,T0,100,11/10/2021,Evelyn,Nauplii,0,
5,2021-11-03,T0,100,11/10/2021,Evelyn,Kellicottia,0,
