"","Time.point","Date.collected","Treatment","Plant.mass..g","Tank","spp","Density"
"1","T0","2021-11-03","unburned",400,1,"chironomid",0
"2","T0","2021-11-03","unburned",400,1,"nauplii",0.75
"3","T0","2021-11-03","unburned",400,1,"kellicottia",1
"4","T0","2021-11-03","unburned",400,1,"keratella",0
"5","T0","2021-11-03","unburned",400,1,"cyclopoid",1.25
"6","T0","2021-11-03","unburned",400,1,"calanoid",0.25
"7","T0","2021-11-03","unburned",400,1,"daphnia",0
"8","T1","2021-11-15","unburned",400,1,"calanoid",0
"9","T1","2021-11-15","unburned",400,1,"cyclopoid",0
"10","T1","2021-11-15","unburned",400,1,"chironomid",4.54545454545455
"11","T1","2021-11-15","unburned",400,1,"nauplii",0.909090909090909
"12","T1","2021-11-15","unburned",400,1,"kellicottia",0
"13","T1","2021-11-15","unburned",400,1,"keratella",0
"14","T1","2021-11-15","unburned",400,1,"mosquito",27.2727272727273
"15","T1","2021-11-15","unburned",400,1,"daphnia",0
"16","T2","2021-12-06","unburned",400,1,"calanoid",0
"17","T2","2021-12-06","unburned",400,1,"cyclopoid",0.552486187845304
"18","T2","2021-12-06","unburned",400,1,"chironomid",0
"19","T2","2021-12-06","unburned",400,1,"nauplii",0
"20","T2","2021-12-06","unburned",400,1,"kellicottia",0
"21","T2","2021-12-06","unburned",400,1,"keratella",0
"22","T2","2021-12-06","unburned",400,1,"bosmina",0
"23","T2","2021-12-06","unburned",400,1,"ceriodaphnia",0
"24","T2","2021-12-06","unburned",400,1,"daphnia",0
"25","T2","2021-12-06","unburned",400,1,"mosquito",32.8729281767956
"26","T3","2022-01-03","unburned",400,1,"calanoid",0
"27","T3","2022-01-03","unburned",400,1,"cyclopoid",0
"28","T3","2022-01-03","unburned",400,1,"chironomid",0
"29","T3","2022-01-03","unburned",400,1,"nauplii",0
"30","T3","2022-01-03","unburned",400,1,"kellicottia",0
"31","T3","2022-01-03","unburned",400,1,"keratella",0
"32","T3","2022-01-03","unburned",400,1,"daphnia",0
"33","T3","2022-01-03","unburned",400,1,"mosquito",19.1747572815534
"34","T3","2022-01-03","unburned",400,1,"mayfly",0.242718446601942
"35","T4","2022-02-01","unburned",400,1,"calanoid",0
"36","T4","2022-02-01","unburned",400,1,"cyclopoid",0.25
"37","T4","2022-02-01","unburned",400,1,"chironomid",0
"38","T4","2022-02-01","unburned",400,1,"nauplii",0.5
"39","T4","2022-02-01","unburned",400,1,"ephipium",0
"40","T4","2022-02-01","unburned",400,1,"keratella",0
"41","T4","2022-02-01","unburned",400,1,"bosmina",0
"42","T4","2022-02-01","unburned",400,1,"ceriodaphnia",0
"43","T4","2022-02-01","unburned",400,1,"daphnia",5.25
"44","T4","2022-02-01","unburned",400,1,"mosquito",4.25
"45","T0","2021-11-03","burned",0,2,"chironomid",0
"46","T0","2021-11-03","burned",0,2,"calanoid",0
"47","T0","2021-11-03","burned",0,2,"cyclopoid",0.251256281407035
"48","T0","2021-11-03","burned",0,2,"nauplii",0.50251256281407
"49","T0","2021-11-03","burned",0,2,"asplanchna",0
"50","T0","2021-11-03","burned",0,2,"bosmina",0
"51","T0","2021-11-03","burned",0,2,"ceriodaphnia",0
"52","T0","2021-11-03","burned",0,2,"daphnia",0
"53","T0","2021-11-03","burned",0,2,"unknown 1",0.251256281407035
"54","T0","2021-11-03","burned",0,2,"calanoid",0
"55","T0","2021-11-03","burned",0,2,"cyclopoid",0.251256281407035
"56","T0","2021-11-03","burned",0,2,"keratella",0.753768844221106
"57","T0","2021-11-03","burned",0,2,"kellicottia",0.753768844221106
"58","T0","2021-11-03","burned",0,2,"daphnia",0.251256281407035
"59","T0","2021-11-03","burned",0,2,"kellicottia",0
"60","T0","2021-11-03","burned",0,2,"keratella",7.28643216080402
"61","T0","2021-11-03","burned",0,2,"nauplii",0
"62","T0","2021-11-03","burned",0,2,"chironomid",0
"63","T0","2021-11-03","burned",0,2,"calanoid",0
"64","T0","2021-11-03","burned",0,2,"cyclopoid",0
"65","T0","2021-11-03","burned",0,2,"nauplii",0.50251256281407
"66","T0","2021-11-03","burned",0,2,"keratella",0
"67","T0","2021-11-03","burned",0,2,"kellicottia",0
"68","T0","2021-11-03","burned",0,2,"chironomid",1.00502512562814
"69","T1","2021-11-15","burned",0,2,"calanoid",0
