"","mod.rep","df","AIC"
"m1.chl.T0","~Treatment + s(plant.mass..g, by= Treatment)",5.00018898326354,-137.169055544622
"m2.chl.T0","~Treatment + s(plant.mass..g)",4.0002463996685,-138.751370367073
"m3.chl.T0","~s(plant.mass..g)",3.00020595865244,-133.457417105036
"m1.chl.T1","~Treatment + s(plant.mass..g, by= Treatment)",8.36146748856727,109.702154741079
"m2.chl.T1","~Treatment + s(plant.mass..g)",6.13836390186523,121.085018485214
"m3.chl.T1","~s(plant.mass..g)",5.53065945506848,119.096440376724
"m1.chl.T2","~Treatment + s(plant.mass..g, by= Treatment)",5.00007195244363,43.6452004806326
"m2.chl.T2","~Treatment + s(plant.mass..g)",4.00004013264617,47.5236897214164
"m3.chl.T2","~s(plant.mass..g)",3.00004174950213,46.3219604043373
"m1.chl.T3","~Treatment + s(plant.mass..g, by= Treatment)",5.95298283161247,91.3069480492309
"m2.chl.T3","~Treatment + s(plant.mass..g)",5.68176626465549,88.4665714138075
"m3.chl.T3","~s(plant.mass..g)",4.70449630114124,87.2634404199326
"m1.chl.T4","~Treatment + s(plant.mass..g, by= Treatment)",5.00011256234419,100.417823978065
"m2.chl.T4","~Treatment + s(plant.mass..g)",4.00005760884771,101.720469646167
"m3.chl.T4","~s(plant.mass..g)",3.00008831813395,100.730525824957
