"","df","AIC"
"m1.TN.T0.gam",5.00005336968667,-85.0965465666468
"m2.TN.T0.gam",4.000081797657,-83.4200635817518
"m3.TN.T0.gam",3.0000821195802,-84.5357379566553
"m1.TN.T1.gam",8.88863730139712,-7.84113929501738
"m2.TN.T1.gam",6.23932096668792,-10.6455468604675
"m3.TN.T1.gam",5.2640475584175,-12.6184009382583
"m1.TN.T2.gam",6.31317777982576,-11.718630581617
"m2.TN.T2.gam",6.92085091031601,-18.0564833755344
"m3.TN.T2.gam",5.48837395328745,-15.0454949087951
"m1.TN.T3.gam",11.291013829211,-39.5614465869298
"m2.TN.T3.gam",6.12456946812122,-26.1517831630468
"m3.TN.T3.gam",5.10097130760298,-25.9914570496086
"m1.TN.T4.gam",6.97301353681312,-23.7428286611283
"m2.TN.T4.gam",4.7740034973062,-20.6219815798912
"m3.TN.T4.gam",3.58413046155532,-17.3550774356102
