"","Identity","Model","df/edf","Ref.df","F","p-value"
"1","HIX","Day 10 Model: Treatment",1,"-",1.05523892387404,0.313766169917595
"2","HIX","Day 31 Model: Treatment",1,"-",2.24005862380732,0.146517760056901
"3","HIX","Day 59 Model: Treatment",1,"-",16.264165394531,0.000622539628228438
"4","HIX","Day 89 Model: Treatment",1,"-",27.9406195639477,2.55474050483207e-05
"5","HIX","Day 10 Model: s(plant.mass):burned",1.00000517263295,"1.00001034524588",6.35380894541071,0.0181849897525034
"6","HIX","Day 10 Model: s(plant.mass):unburned",1.00002527141513,"1.00005054235234",8.92583589107756,0.00606525911480482
"7","HIX","Day 31 Model: s(plant.mass):burned",1.00000549978469,"1.00001099954674",3.78230950773232,0.0626882710079576
"8","HIX","Day 31 Model: s(plant.mass):unburned",1.00000555822363,"1.00001111642415",2.68127746869103,0.11358258544023
"9","HIX","Day 59 Model: s(plant.mass):burned",2.84121308114402,"3.48356588893434",7.1292782705292,0.00128541127441117
"10","HIX","Day 59 Model: s(plant.mass):unburned",4.60850774465857,"5.55315038746633",6.34578414033851,0.000790935847286123
"11","HIX","Day 89 Model: s(plant.mass):burned",2.50052626611742,"3.07360575420951",10.749497144381,0.000140501492198464
"12","HIX","Day 89 Model: s(plant.mass):unburned",3.25696369175943,"3.97971195768712",37.1760307996453,0
